"","argomento","nome","cognome","genere","dataNascita","gruppo_parlamentare","background","inizioIncarico","fineIncarico","data_intervento","intervento","discussione","gruppo"
"199","Svolgimento e conclusione - Indagine conoscitiva sulla tutela dei diritti delle minoranze per il mantenimento della pace e della sicurezza a livello internazionale.
Audizione di Isabella Peretti, co-autrice dell'introduzione del volume ""Stupri di guerra e violenze di genere"" e curatrice della collana ""Sessismorazzismo"", Vittoria Tola, responsabile nazionale dell'Unione Donne Italiane, Chiara Valentini, giornalista e saggista, e Simona La Rocca, curatrice del libro ""Stupri di guerra e violenze di genere"" ed esperta di diritti umani e di diritti dell'ambiente","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2016-02-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_379325>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib88411_17>","Misto"
"200","Nella giornata internazionale per l'eliminazione della violenza contro le donne","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2014-11-25,"<http://dati.camera.it/ocd/intervento.rdf/in17_308085>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72764_17>","Misto"
"201","Per richiami al Regolamento e sull'ordine dei lavori (disciplina degli interventi sul processo verbale; irritualità della chiusura anticipata della discussione nella seduta del 29 gennaio; stigmatizzazione del comportamento di un gruppo parlamentare; impossibilità per alcuni deputati di partecipare alle sedute delle Commissioni; incidenti verificatisi nel corso della seduta del 29 gennaio; riforma del Regolamento; solidarietà agli assistenti parlamentari; espressioni di solidarietà alla Presidente della Camera e al Presidente della Repubblica; adozione di atteggiamenti e di un linguaggio irrispettosi nei confronti delle donne).","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2014-01-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_261049>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib62801_17>","Misto"
"202","Svolgimento e conclusione - Indagine conoscitiva sull'Agenda 2030 per lo sviluppo sostenibile.
Audizione della Vice Direttrice Generale dell'Organizzazione Mondiale della Sanità per la Salute della Famiglia, delle Donne e dei Bambini, Flavia Bustreo","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2016-07-14,"<http://dati.camera.it/ocd/intervento.rdf/in17_400244>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib93898_17>","Misto"
"203","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (per rettificare una votazione, solidarietà ad un deputato oggetto di attacchi; ricordo dell'uomo politico Giacomo Brodolini; difficoltà nell'applicazione dell'""opzione donna"")","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2015-07-24,"<http://dati.camera.it/ocd/intervento.rdf/in17_347965>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib81083_17>","Misto"
"204","Sull'ordine dei lavori per interventi su argomenti non iscritti all'ordine del giorno, e per la risposta a strumenti del sindacato ispettivo (strage di volontari dei giovani socialisti della SGDF a Suruc, in Turchia; morte dell'infettivologo Mauro Moroni; problemi relativi all'attuazione dell'""opzione donna""; rischio attentati e situazione dei Vigili del fuoco; morte sul lavoro di Abdullah Mohammed e sfruttamento dei migranti).","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2015-07-23,"<http://dati.camera.it/ocd/intervento.rdf/in17_347791>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib81057_17>","Misto"
"205","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (entrata in vigore della Convenzione di Istanbul sulla lotta alla violenza contro le donne; sciopero della fame di esponenti radicali per la condizione dei detenuti; per la nomina del Commissario per la sanità in Calabria; default dell'Argentina; blocco della vendita di armi ad Israele; per il rapido voto in Assemblea del disegno di legge sul reato di depistaggio; probabile chiusura del centro trapianti di midollo osseo di Genova; problemi nell'attuazione del piano delle infrastrutture strategiche; per comunicazione del Governo sulla revisione della convenzione tra la Tirrenia e la Regione Sardegna; sversamento di liquami nocivi nel fiume Treja; aumento della disoccupazione giovanile e intendimenti del Governo; violenza sessuale di militari USA a Vicenza; per la nomina di un ministro per le pari opportunità) e per la risposta a strumenti del sindacato ispettivo.","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2014-07-31,"<http://dati.camera.it/ocd/intervento.rdf/in17_291473>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib69280_17>","Misto"
"206","Discussione e conclusione - Approvazione della risoluzione n. 8-00269 - 7-01324 Spadoni: Sui profili attuativi della Convenzione del Consiglio d'Europa sulla prevenzione e la lotta alla violenza contro le donne e la violenza domestica","PIA ELDA","LOCATELLI","female",1949-08-13,"MISTO (19.03.2013-22.03.2018)","Laurea in economia e commercio, Laurea in lingue e letterature straniere",2013-03-19,2018-03-22,2017-11-08,"<http://dati.camera.it/ocd/intervento.rdf/in17_457303>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib108933_17>","Misto"
"207","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (alluvioni a Carrara; proposte di legge di iniziative popolare; mancata adozione del piano antiviolenza sulle donne da parte del Governo; coppia di cristiani arsi vivi in Pakistan e persecuzioni anticristiane nei paesi islamici)","MARIALUCIA","LOREFICE","female",1980-07-08,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-11-06,"<http://dati.camera.it/ocd/intervento.rdf/in17_304291>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72150_17>","Movimento 5 Stelle"
"208","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (decessi a seguito di vaccinazioni e richiesta di un'informativa del Ministro della salute a tale riguardo; mancata adozione del piano antiviolenza sulle donne; rilevanza del fenomeno della mancata risposta alle interrogazioni; competenze per il riordino della sanità; vertenza dei lavoratori della società Milano 90; incardinamento di una proposta di legge; tragica scomparsa del bambino Andrea Stival in Sicilia) e per la risposta a strumenti del sindacato ispettivo.","MARIALUCIA","LOREFICE","female",1980-07-08,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-11-30,"<http://dati.camera.it/ocd/intervento.rdf/in17_309165>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72948_17>","Movimento 5 Stelle"
"209","Sull'ordine dei lavori, per interventi su argomenti non iscritti all'ordine del giorno (anniversario della morte dello studente Vito Scafidi; concerto neonazista in provincia di Milano; opacità nelle associazioni di volontariato ambientale; mancata attuazione del piano antiviolenza sulle donne; morte di un elettricista dell'ILVA per malattia professionale; ferimento di un'attivista italiana di Greenpeace; crescita dei reati contro la persona nel ragusano; proposta di legge sulla registrazione degli atti di stato civile; esondazione del fiume Seveso e posizione di un gruppo politico; finanziamenti pubblici delle diverse fonti energetiche) e per la risposta a strumenti del sindacato ispettivo","MARIALUCIA","LOREFICE","female",1980-07-08,"MOVIMENTO 5 STELLE (19.03.2013-22.03.2018)","Diploma di liceo linguistico",2013-03-19,2018-03-22,2014-11-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_305884>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib72469_17>","Movimento 5 Stelle"
"210","Discussione - Mozioni Speranza ed altri n.1-00039, Binetti ed altri n.1-00036, Locatelli ed altri n.1-00040, Brunetta ed altri n.1-00041, Migliore ed altri n.1-00043 e Mucci ed altri n.1-00042: Iniziative volte al contrasto di ogni forma di violenza nei confronti delle donne","PASQUALE","MAIETTA","male",1971-08-04,"FRATELLI D'ITALIA (03.04.2013-22.03.2018)","Laurea in economia e commercio;  Commercialista",2013-04-03,2018-03-22,2013-06-03,"<http://dati.camera.it/ocd/intervento.rdf/in17_216536>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib54684_17>","Destra"
"211","Sull'ordine dei lavori (morte dell'ex deputato Pietro Barcellona; conseguenze della vicenda dell'ILVA sullo stabilimento di Caronno Pertusella; ritrovamento di fusti con fanghi industriali a Casal di Principe; mancata risposta del Governo a interpellanze e interrogazioni; offesa ad un partito storico sul sito Internet di un partito politico; episodi di violenza sulle donne; posizioni contraddittorie di un partito politico; organizzazione dei tempi dei lavori parlamentari) e per la risposta ad uno strumento del sindacato ispettivo","IRENE","MANZI","female",1977-08-16,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Funzionario, dipendente pubblico",2013-03-19,2018-03-22,2013-09-17,"<http://dati.camera.it/ocd/intervento.rdf/in17_233952>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib57878_17>","Sinistra"
"212","Iniziative in ordine al mancato ingresso gratuito delle donne al Palazzo Ducale di Urbino nella giornata dell'8 marzo 2016  n. 3-02792","IRENE","MANZI","female",1977-08-16,"PARTITO DEMOCRATICO (19.03.2013-22.03.2018)","Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Funzionario, dipendente pubblico",2013-03-19,2018-03-22,2017-02-21,"<http://dati.camera.it/ocd/intervento.rdf/in17_422354>","<http://dati.camera.it/ocd/discussione.rdf/disIdDib99806_17>","Sinistra"
